ReviewID,Case Master ID,Case Date,Reviewer_1,Reviewer_1_Time,Reviewer_2,Reviewer_2_Time,Secondary: Source is clear,Correct assessment?,Translation accuracy,Source has multiple meanings,Source is clear,Source contains contradictions
195,195,09/01/2023,reviewer_2,1718327,reviewer_7,565747,4. Mostly clear and easy to read,No,Nothing missing or added to translation,No,4. Mostly clear and easy to read,Yes
196,196,09/01/2023,reviewer_26,830899,reviewer_16,33575,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
197,197,09/01/2023,reviewer_16,129293,reviewer_29,233128,4. Mostly clear and easy to read,Yes,Added information,No,5. Completely easily understood and well written,No
198,198,09/01/2023,reviewer_7,338285,reviewer_16,59784,5. Completely easily understood and well written,Yes,Added information,No,4. Mostly clear and easy to read,No
199,199,09/01/2023,reviewer_14,298932,reviewer_16,446570,3. Needs rereading to understand,No,Added information,No,4. Mostly clear and easy to read,No
200,200,09/01/2023,reviewer_10,575631,reviewer_7,136859,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
201,201,09/01/2023,reviewer_29,1486548,reviewer_7,513311,4. Mostly clear and easy to read,Yes,Added information,No,3. Needs rereading to understand,No
202,202,09/01/2023,reviewer_7,2867835,reviewer_26,216606,4. Mostly clear and easy to read,Yes,Added information,No,5. Completely easily understood and well written,No
203,203,09/01/2023,reviewer_29,1288048,reviewer_26,796733,3. Needs rereading to understand,No,Both missing and added information,No,4. Mostly clear and easy to read,No
204,204,09/01/2023,reviewer_19,669975,reviewer_7,616579,4. Mostly clear and easy to read,No,Added information,No,4. Mostly clear and easy to read,No
205,205,09/01/2023,reviewer_7,125413,reviewer_14,27681,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
206,206,09/01/2023,reviewer_11,972567,reviewer_26,679110,5. Completely easily understood and well written,No,Added information,No,4. Mostly clear and easy to read,No
207,207,09/01/2023,reviewer_24,353081,reviewer_14,872943,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
208,208,09/01/2023,reviewer_26,360782,reviewer_14,1622301,4. Mostly clear and easy to read,Yes,Nothing missing or added to translation,No,5. Completely easily understood and well written,No
209,209,09/01/2023,reviewer_11,212827,reviewer_10,77442,5. Completely easily understood and well written,Yes,Added information,No,4. Mostly clear and easy to read,No
210,210,09/01/2023,reviewer_16,161439,reviewer_7,768809,3. Needs rereading to understand,No,Added information,No,3. Needs rereading to understand,No
